Empresa;Aplicação;Entrevista;Resposta;Vaga;Etapa Gupy;Remoto;Senioridade;Data Submissão;Data entrevista;Data Resposta;Data Visualização;
Belvo;LinkedIn;Sim;Personalizada;Python Developer;N/A;Sim;N/A;06/12/2021;10/12/2021;13/12/2021;N/A;
Zyte;Workable;Sim;Personalizada;Python Developer -Remote;N/A;Sim;N/A;09/12/2021;12/12/2021;07/03/2022;N/A;
Mobi2Buy;Gupy;Não;N/A;Desenvolvedor Python;Cadastro;Sim;N/A;13/12/2021;N/A;N/A;N/A;
Compay Hero;Gupy;Não;N/A;Desenvolvedor Python Júnior;Cadastro;Sim;Júnior;13/12/2021;N/A;N/A;N/A;
WeRecruiter;Gupy;Não;Genérica;Desenvolvedore Python Júnior;Resposta;Sim;Júnior;13/12/2021;N/A;01/03/2022;N/A;
Mollica IT;LinkedIn;Não;N/A;Cientista de Dados - Estágio/Júnior;N/A;Sim;Júnior;13/12/2021;N/A;N/A;N/A;
Linx;Gupy;Não;N/A;Analisa de Suporte Jr - Remoto;Cadastro;Sim;Júnior;14/12/2021;N/A;N/A;N/A;
Cadmus Soluções em TI;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;14/12/2021;N/A;N/A;N/A;
Linx;LinkedIn;Não;N/A;Pessoa Desenvolvedora Python Pl;N/A;Sim;Pleno;15/12/2021;N/A;N/A;N/A;
Teva Indices;LinkedIn;Não;N/A;Cientista de Dados;N/A;Sim;N/A;15/12/2021;N/A;N/A;N/A;
PagSeguro PagBank;Gupy;Não;Genérica;Cientista de Dados;Cadastro;Sim;N/A;15/12/2021;N/A;29/12/2021;N/A;
Linx;LinkedIn;Não;N/A;Pessoa Desenvolvedora Python;N/A;Sim;N/A;15/12/2021;N/A;N/A;N/A;
JobConvo;Site;Não;N/A;Desenvolvimento Phython e SQL;N/A;Sim;N/A;16/12/2021;N/A;N/A;N/A;
Linx;LinkedIn;Não;N/A;Pessoa Desenvolvedora Python Pl;N/A;Sim;Pleno;16/12/2021;N/A;N/A;N/A;
HunterCO;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;17/12/2021;N/A;N/A;N/A;
Bradoo Technologies;LinkedIn;Sim;N/A;Desenvolvedor Python;N/A;Sim;N/A;18/12/2021;11/01/2022;N/A;26/12/2021;
Data Marketplace;LinkedIn;Não;N/A;Engenheiro de dados;N/A;Sim;N/A;19/12/2021;N/A;N/A;N/A;
Modalmais;Kenoby;Não;Genérica;Python Developer;N/A;Sim;N/A;N/A;N/A;20/12/2021;N/A;
